nome,texto,#palavras,#unicas,#pontos_interrogacao,#pontos_exclamacao,#nomes,#adjectivos,#adverbios,#verbos,diversidade_lexical,densidade_lexical,sentimento
CAPÍTULO I,"Domingos José Correia Botelho de Mesquita e Meneses, fidalgo de linhagem de uma das mais antigas casas de Vila Real de Trás-os-Montes, era, em 1779, juiz de fora de Cascais, e nesse mesmo ano casara com uma dama do paço, D Rita Teresa Margarida Preciosa da Veiga Caldeirão Castelo Branco, filha de um capitão de cavalos, neta de outro, António de Azevedo Castelo Branco Pereira da Silva, tão notável pela sua hierarquia, como por um — naquele tempo famoso — livro que escrevera acerca da Arte da Guerra.",100,71,0,0,14,4,4,2,24,24.0,"[{'label': 'NEGATIVE', 'score': 0.6607904434204102}]"
CAPÍTULO I,"Dez anos de um amor não correspondido, mantiveram em Lisboa o bacharel provinciano.",15,15,0,0,3,1,1,2,7,46.666666666666664,"[{'label': 'NEUTRAL', 'score': 0.41067230701446533}]"
CAPÍTULO I,Para fazer-se amar da formosa dama de D Maria I faltavam-lhe dotes físicos: Domingos Botelho era extremamente feio.,20,20,0,0,2,3,1,3,9,45.0,"[{'label': 'NEGATIVE', 'score': 0.7109667062759399}]"
CAPÍTULO I,"Para se inculcar como partido conveniente à pretendente, faltavam-lhe bens de fortuna: os haveres dele não excediam os trinta mil cruzados em propriedades no Douro.",28,27,0,0,6,1,1,4,12,42.857142857142854,"[{'label': 'NEGATIVE', 'score': 0.6408402919769287}]"
CAPÍTULO I,"Os dotes de espírito também não o recomendavam: era alcançadíssimo de inteligência, e granjeara entre os seus condiscípulos da Universidade o epíteto de Brocas com que ainda hoje os seus descendentes em Vila Real são conhecidos.",39,34,0,0,6,1,4,3,14,35.8974358974359,"[{'label': 'NEGATIVE', 'score': 0.6088565587997437}]"
CAPÍTULO I,"Bem ou mal derivado, o epíteto “Brocas” vem de “broa”.",16,14,0,0,2,1,2,1,6,37.5,"[{'label': 'NEUTRAL', 'score': 0.4181808829307556}]"
CAPÍTULO I,Entenderam os académicos que a rudeza do seu condiscípulo procedia do muito pão de milho que ele ingerira na sua terra.,22,20,0,0,6,0,0,3,9,40.909090909090914,"[{'label': 'NEGATIVE', 'score': 0.7050405144691467}]"
CAPÍTULO I,"Mas Domingos Botelho devia ter uma vocação qualquer, e tinha: era um excelente flautista; e foi a tocar a flauta que se sustentou dois anos em Coimbra, durante os quais o seu pai lhe suspendeu as mesadas, porque os rendimentos da casa não chegaram para livrar um outro filho de um crime de morte Formara-se Domingos Botelho em 1767, e fora a Lisboa ler no Desembargo do Paço — iniciação banal dos que aspiravam à carreira da magistratura.",85,69,0,0,13,3,2,11,29,34.11764705882353,"[{'label': 'NEGATIVE', 'score': 0.6426681280136108}]"
CAPÍTULO I,"Já Fernão Botelho, pai do bacharel, fora bem aceite em Lisboa, principalmente pelo duque de Aveiro, cuja estima lhe pôs a cabeça em risco, no golpe da tentativa regicida de 1758.",37,31,0,0,7,1,4,3,15,40.54054054054054,"[{'label': 'NEGATIVE', 'score': 0.6995716094970703}]"
CAPÍTULO I,"O provinciano saiu das masmorras da Junqueira ilibado da infame nódoa, e até ficou bem visto pelo conde de Oeiras, porque tomara parte na prova que este fizera do primor da sua genealogia contra a dos Pintos Coelhos do Bonjardim do Porto — litigio ridículo, mas estrondoso, movido pela recusa que o fidalgo portuense fizera da sua filha ao filho de Sebastião José de Carvalho.",70,57,0,0,15,4,2,7,28,40.0,"[{'label': 'NEGATIVE', 'score': 0.7266142964363098}]"
CAPÍTULO I,As artes com que o bacharel flautista fez para ganhar a estima de D Maria I e Pedro III não as sei eu.,24,24,0,0,3,1,1,3,8,33.33333333333333,"[{'label': 'NEGATIVE', 'score': 0.582887589931488}]"
CAPÍTULO I,"Diz a tradição que o homem fazia rir a rainha com as suas graças, e porventura com os trejeitos que revelavam o melhor da sua personalidade.",28,24,0,0,7,0,1,4,12,42.857142857142854,"[{'label': 'NEGATIVE', 'score': 0.4243001639842987}]"
CAPÍTULO I,"O certo é que Domingos Botelho passou a frequentar o paço e a receber do bolsinho da soberana uma farta pensão, com a qual o aspirante a juiz de fora se esqueceu de si, do futuro, e do ministro da justiça que, muito rogado, lhe confiou o encargo de juiz de fora de Cascais.",60,40,0,0,12,1,3,7,23,38.333333333333336,"[{'label': 'NEGATIVE', 'score': 0.6767638325691223}]"
CAPÍTULO I,"Já está dito que ele se atreveu aos amores do paço, não fazendo poesias como Luís de Camões ou Bernardim Ribeiro; mas namorando na sua prosa provinciana, e captando a benevolência da rainha para amolecer as durezas da dama de companhia desta, a sua pretendente.",50,44,0,0,10,2,2,5,19,38.0,"[{'label': 'NEGATIVE', 'score': 0.5159715414047241}]"
CAPÍTULO I,"Devia de ser, afinal, feliz o doutor bexiga — como era na corte conhecido — para se não desconcertar a discórdia que existe entre o talento e a felicidade.",32,28,0,0,5,2,3,5,15,46.875,"[{'label': 'POSITIVE', 'score': 0.37943369150161743}]"
CAPÍTULO I,Domingos Botelho casou com D Rita Preciosa.,8,8,0,0,0,0,0,1,1,12.5,"[{'label': 'NEUTRAL', 'score': 0.5165630578994751}]"
CAPÍTULO I,"Rita era uma formosura, que ainda aos cinquenta anos se podia prezar de o ser.",17,17,0,0,3,0,1,2,6,35.294117647058826,"[{'label': 'NEGATIVE', 'score': 0.5504828095436096}]"
